open_date,close_date,Symbol,Action,Lots,open_price,close_price,pips,profit,duration,change
12.16.2022 20:50,12.16.2022 21:20,EURUSD,Sell,0.01,1.06135,1.06055,8.0,0.75,30m,0.01%
12.16.2022 18:25,12.16.2022 19:20,EURUSD,Buy,0.02,1.06036,1.06171,13.5,2.54,55m,0.04%
12.16.2022 17:10,12.16.2022 19:20,EURUSD,Buy,0.01,1.0621,1.06172,-3.8,-0.36,2h 10m,-0.01%
12.16.2022 16:50,12.16.2022 17:05,EURUSD,Sell,0.01,1.06462,1.06314,14.8,1.39,15m,0.02%
12.16.2022 14:45,12.16.2022 16:35,EURUSD,Buy,0.01,1.06277,1.06348,7.1,0.67,1h 50m,0.01%
12.16.2022 16:00,12.16.2022 16:15,EURUSD,Sell,0.01,1.06335,1.06225,11.0,1.04,15m,0.02%
12.16.2022 13:15,12.16.2022 15:05,EURUSD,Sell,0.01,1.06256,1.06181,7.5,0.71,1h 50m,0.01%
12.16.2022 12:00,12.16.2022 12:40,EURUSD,Buy,0.02,1.06128,1.06256,12.8,2.41,40m,0.04%
12.16.2022 11:20,12.16.2022 12:40,EURUSD,Buy,0.01,1.06288,1.06256,-3.2,-0.30,1h 20m,0.00%
12.16.2022 10:32,12.16.2022 10:55,EURUSD,Buy,0.02,1.06381,1.06526,14.5,2.72,22m,0.04%
12.16.2022 09:45,12.16.2022 10:55,EURUSD,Buy,0.01,1.06422,1.06526,10.4,0.98,1h 10m,0.02%
12.16.2022 09:15,12.16.2022 10:00,EURUSD,Sell,0.03,1.066,1.0633,27.0,7.62,44m,0.12%
12.16.2022 02:05,12.16.2022 10:00,EURUSD,Sell,0.02,1.06391,1.06336,5.5,1.03,7h 55m,0.02%
12.15.2022 21:05,12.16.2022 10:00,EURUSD,Sell,0.02,1.06263,1.06334,-7.1,-1.26,12h 54m,-0.02%
12.15.2022 20:40,12.16.2022 10:00,EURUSD,Sell,0.01,1.06138,1.06333,-19.5,-1.79,13h 20m,-0.03%
12.15.2022 19:10,12.16.2022 02:00,EURUSD,Buy,0.03,1.06057,1.0638,32.3,8.79,6h 50m,0.14%
12.15.2022 17:50,12.16.2022 02:00,EURUSD,Buy,0.02,1.06349,1.06379,3.0,0.35,8h 10m,0.01%
12.15.2022 17:25,12.16.2022 02:00,EURUSD,Buy,0.02,1.06478,1.06379,-9.9,-2.07,8h 35m,-0.03%
12.15.2022 17:20,12.16.2022 02:00,EURUSD,Buy,0.01,1.0662,1.06379,-24.1,-2.38,8h 40m,-0.04%
12.15.2022 15:20,12.15.2022 16:10,EURUSD,Sell,0.01,1.06404,1.07034,-63.0,-5.89,50m,-0.09%
